Meldungen	Saison	Erkrankung	Altersgruppe	Region	Kalenderwoche	Inzidenz
352	2010/11	ILI	00+	Mitte (West)	2011-W33	569
136	2010/11	ILI	00+	Norden (West)	2011-W33	0
330	2010/11	ILI	00+	Osten	2011-W33	518
805	2010/11	ILI	15+	Bundesweit	2011-W33	231
1002	2010/11	ILI	00+	Bundesweit	2011-W33	423
197	2010/11	ILI	0-14	Bundesweit	2011-W33	1731
58	2010/11	ARE	0-4	Bundesweit	2011-W34	9822
141	2010/11	ARE	5-14	Bundesweit	2011-W34	9302
196	2010/11	ARE	15-34	Bundesweit	2011-W34	2700
544	2010/11	ARE	35-59	Bundesweit	2011-W34	6728
81	2010/11	ARE	60+	Bundesweit	2011-W34	4944
185	2010/11	ARE	00+	Sueden	2011-W34	3801
350	2010/11	ARE	00+	Mitte (West)	2011-W34	3571
129	2010/11	ARE	00+	Norden (West)	2011-W34	3121
356	2010/11	ARE	00+	Osten	2011-W34	9598
821	2010/11	ARE	15+	Bundesweit	2011-W34	5130
1020	2010/11	ARE	00+	Bundesweit	2011-W34	5682
199	2010/11	ARE	0-14	Bundesweit	2011-W34	9460
58	2010/11	ILI	0-4	Bundesweit	2011-W34	4268
141	2010/11	ILI	5-14	Bundesweit	2011-W34	695
196	2010/11	ILI	15-34	Bundesweit	2011-W34	628
544	2010/11	ILI	35-59	Bundesweit	2011-W34	1333
81	2010/11	ILI	60+	Bundesweit	2011-W34	654
185	2010/11	ILI	00+	Sueden	2011-W34	896
350	2010/11	ILI	00+	Mitte (West)	2011-W34	603
129	2010/11	ILI	00+	Norden (West)	2011-W34	1271
356	2010/11	ILI	00+	Osten	2011-W34	1514
821	2010/11	ILI	15+	Bundesweit	2011-W34	950
1020	2010/11	ILI	00+	Bundesweit	2011-W34	1056
199	2010/11	ILI	0-14	Bundesweit	2011-W34	1781
61	2010/11	ARE	0-4	Bundesweit	2011-W35	10104
145	2010/11	ARE	5-14	Bundesweit	2011-W35	6537
202	2010/11	ARE	15-34	Bundesweit	2011-W35	7400
555	2010/11	ARE	35-59	Bundesweit	2011-W35	4589
83	2010/11	ARE	60+	Bundesweit	2011-W35	4036
195	2010/11	ARE	00+	Sueden	2011-W35	3615
352	2010/11	ARE	00+	Mitte (West)	2011-W35	6758
136	2010/11	ARE	00+	Norden (West)	2011-W35	4556
363	2010/11	ARE	00+	Osten	2011-W35	5614
840	2010/11	ARE	15+	Bundesweit	2011-W35	5192
1046	2010/11	ARE	00+	Bundesweit	2011-W35	5505
206	2010/11	ARE	0-14	Bundesweit	2011-W35	7608
61	2010/11	ILI	0-4	Bundesweit	2011-W35	2648
145	2010/11	ILI	5-14	Bundesweit	2011-W35	884
202	2010/11	ILI	15-34	Bundesweit	2011-W35	643
555	2010/11	ILI	35-59	Bundesweit	2011-W35	1666
83	2010/11	ILI	60+	Bundesweit	2011-W35	0
195	2010/11	ILI	00+	Sueden	2011-W35	317
352	2010/11	ILI	00+	Mitte (West)	2011-W35	1149
136	2010/11	ILI	00+	Norden (West)	2011-W35	1872
363	2010/11	ILI	00+	Osten	2011-W35	862
840	2010/11	ILI	15+	Bundesweit	2011-W35	921
1046	2010/11	ILI	00+	Bundesweit	2011-W35	985
206	2010/11	ILI	0-14	Bundesweit	2011-W35	1413
59	2010/11	ARE	0-4	Bundesweit	2011-W36	8625
